,fips,Recip_County,ST,Vax_Pct
255,8021,Conejos County,CO,50.5
256,8023,Costilla County,CO,61.3
257,8025,Crowley County,CO,22.1
258,8027,Custer County,CO,50.2
259,8029,Delta County,CO,48.6
260,8031,Denver County,CO,77.6
261,8033,Dolores County,CO,42.6
262,8035,Douglas County,CO,74.9
263,8037,Eagle County,CO,83.8
264,8039,Elbert County,CO,38.3
265,8041,El Paso County,CO,66.2
266,8043,Fremont County,CO,47.5
267,8045,Garfield County,CO,65.7
268,8047,Gilpin County,CO,58.7
269,8049,Grand County,CO,64.2
270,8051,Gunnison County,CO,70.3
271,8053,Hinsdale County,CO,65.0
272,8055,Huerfano County,CO,55.0
273,8057,Jackson County,CO,46.6
274,8059,Jefferson County,CO,78.9
275,8061,Kiowa County,CO,37.8
276,8063,Kit Carson County,CO,39.7
277,8065,Lake County,CO,60.8
278,8067,La Plata County,CO,71.7
279,8069,Larimer County,CO,69.4
280,8071,Las Animas County,CO,62.6
281,8073,Lincoln County,CO,36.8
282,8075,Logan County,CO,39.0
283,8077,Mesa County,CO,50.9
284,8079,Mineral County,CO,85.3
285,8081,Moffat County,CO,44.1
286,8083,Montezuma County,CO,70.6
287,8085,Montrose County,CO,50.3
288,8087,Morgan County,CO,49.3
289,8089,Otero County,CO,50.1
290,8091,Ouray County,CO,67.6
291,8093,Park County,CO,48.4
292,8095,Phillips County,CO,53.2
293,8097,Pitkin County,CO,84.9
294,8099,Prowers County,CO,43.8
295,8101,Pueblo County,CO,57.9
296,8103,Rio Blanco County,CO,39.3
297,8105,Rio Grande County,CO,64.5
298,8107,Routt County,CO,77.2
299,8109,Saguache County,CO,36.3
300,8111,San Juan County,CO,95.0
301,8113,San Miguel County,CO,84.7
302,8115,Sedgwick County,CO,53.5
303,8117,Summit County,CO,86.1
304,8119,Teller County,CO,55.0
305,8121,Washington County,CO,31.9
306,8123,Weld County,CO,62.4
307,8125,Yuma County,CO,44.8
308,9001,Fairfield County,CT,83.6
309,9003,Hartford County,CT,77.4
310,9005,Litchfield County,CT,76.9
311,9007,Middlesex County,CT,85.1
312,9009,New Haven County,CT,79.8
313,9011,New London County,CT,80.6
314,9013,Tolland County,CT,68.0
315,9015,Windham County,CT,65.3
316,10001,Kent County,DE,57.6
