,fips,ST,Unemployment_rate_2021,Median_Household_Income_2020
302,8091,CO,4.5,"74,492"
303,8093,CO,4.1,"77,598"
304,8095,CO,2.9,"57,385"
305,8097,CO,5.5,"93,634"
306,8099,CO,4.5,"47,463"
307,8101,CO,7.9,"50,885"
308,8103,CO,5.5,"64,039"
309,8105,CO,6.5,"51,416"
310,8107,CO,4.2,"82,330"
311,8109,CO,5.9,"56,012"
312,8111,CO,3.5,"54,387"
313,8113,CO,5.0,"77,099"
314,8115,CO,3.7,"43,354"
315,8117,CO,4.0,"91,079"
316,8119,CO,4.9,"62,845"
317,8121,CO,3.2,"59,174"
318,8123,CO,5.7,"77,937"
319,8125,CO,2.7,"82,124"
320,9000,CT,6.3,"79,723"
321,9001,CT,6.1,"98,828"
322,9003,CT,6.5,"73,476"
323,9005,CT,5.5,"79,512"
324,9007,CT,5.2,"89,970"
325,9009,CT,6.6,"72,517"
326,9011,CT,6.9,"77,202"
327,9013,CT,5.1,"87,247"
328,9015,CT,6.2,"66,349"
329,10000,DE,5.3,"71,335"
330,10001,DE,6.2,"61,538"
331,10003,DE,5.3,"75,145"
332,10005,DE,4.8,"69,829"
333,11000,DC,6.6,"91,957"
334,11001,DC,6.6,"91,957"
335,12000,FL,4.6,"61,724"
336,12001,FL,3.7,"51,995"
337,12003,FL,3.7,"61,514"
338,12005,FL,3.9,"61,332"
339,12007,FL,4.2,"48,260"
340,12009,FL,4.0,"65,871"
341,12011,FL,4.9,"63,901"
342,12013,FL,4.5,"43,994"
343,12015,FL,4.4,"58,368"
344,12017,FL,5.7,"48,574"
345,12019,FL,3.5,"72,520"
346,12021,FL,3.7,"81,895"
347,12023,FL,4.5,"46,670"
348,12027,FL,3.8,"45,807"
349,12029,FL,4.3,"41,450"
350,12031,FL,4.5,"55,202"
351,12033,FL,4.5,"57,089"
352,12035,FL,4.6,"67,054"
353,12037,FL,3.8,"47,206"
354,12039,FL,5.4,"42,698"
355,12041,FL,3.7,"52,000"
356,12043,FL,4.2,"45,328"
357,12045,FL,3.6,"51,593"
358,12047,FL,6.0,"41,871"
359,12049,FL,4.8,"46,264"
360,12051,FL,6.1,"45,652"
361,12053,FL,5.1,"52,108"
362,12055,FL,5.9,"48,922"
363,12057,FL,4.3,"65,272"
364,12059,FL,4.1,"41,969"
365,12061,FL,4.7,"72,934"
366,12063,FL,4.6,"44,108"
367,12065,FL,4.2,"54,354"
368,12067,FL,4.0,"41,635"
369,12069,FL,4.7,"58,501"
370,12071,FL,4.2,"66,140"
371,12073,FL,4.2,"61,403"
372,12075,FL,4.5,"41,894"
373,12077,FL,4.2,"46,734"
374,12079,FL,4.9,"41,650"
375,12081,FL,3.9,"63,328"
376,12083,FL,4.9,"48,553"
377,12085,FL,3.6,"72,736"
378,12086,FL,5.2,"59,259"
379,12087,FL,3.0,"68,584"
380,12089,FL,3.4,"75,123"
381,12091,FL,3.3,"65,977"
382,12093,FL,4.1,"48,028"
383,12095,FL,5.2,"69,074"
384,12097,FL,6.3,"63,018"
385,12099,FL,4.3,"68,200"
386,12101,FL,4.4,"52,332"
387,12103,FL,4.0,"61,532"
388,12105,FL,5.4,"54,591"
389,12107,FL,6.1,"36,527"
390,12109,FL,3.0,"94,343"
391,12111,FL,4.9,"59,023"
392,12113,FL,3.5,"71,583"
393,12115,FL,3.8,"66,138"
394,12117,FL,4.1,"71,930"
395,12119,FL,5.3,"60,278"
396,12121,FL,4.5,"46,264"
397,12123,FL,5.0,"45,527"
398,12125,FL,3.7,"49,313"
399,12127,FL,4.6,"55,463"
400,12129,FL,3.2,"64,671"
401,12131,FL,3.5,"74,108"
402,12133,FL,4.5,"44,661"
403,13000,GA,3.9,"62,800"
404,13001,GA,3.6,"44,871"
405,13003,GA,2.9,"39,633"
406,13005,GA,3.2,"41,756"
407,13007,GA,4.9,"43,696"
408,13009,GA,4.8,"49,350"
409,13011,GA,2.6,"62,836"
