fips,ST,lat,lng,population
26005,MI,42.5913,-85.8884,117104
16019,ID,43.3877,-111.6148,116970
9015,CT,41.83,-71.9874,116657
13185,GA,30.8338,-83.2677,116436
37089,NC,35.3363,-82.48,116298
39169,OH,40.8289,-81.888,116063
55117,WI,43.7212,-87.9454,115152
18035,IN,40.2275,-85.3969,114461
1015,AL,33.7714,-85.826,114324
42081,PA,41.3434,-77.0645,114014
13113,GA,33.4139,-84.4943,113544
24037,MD,38.3024,-76.6059,113182
12035,FL,29.4614,-81.3136,112854
46103,SD,44.0037,-102.8238,112504
36045,NY,44.0495,-75.9208,111454
30031,MT,45.5404,-111.1704,111401
22109,LA,29.4148,-90.8663,111297
42085,PA,41.3022,-80.2577,110519
4017,AZ,35.3996,-110.3214,110271
18091,IN,41.546,-86.74,110026
41019,OR,43.2797,-123.1665,110015
17091,IL,41.1377,-87.8618,109924
13217,GA,33.555,-83.8502,109835
36069,NY,42.8528,-77.2998,109774
26045,MI,42.5961,-84.8383,109730
21093,KY,37.6979,-85.9634,109627
5031,AR,35.8308,-90.6328,109081
17099,IL,41.344,-88.8859,108998
51003,VA,38.0229,-78.5567,108819
53015,WA,46.1932,-122.681,108399
36089,NY,44.4964,-75.069,108352
23001,ME,44.1658,-70.2065,107958
2170,AK,62.3155,-149.5728,107360
18167,IN,39.4306,-87.39,107305
47011,TN,35.1541,-84.8596,106924
45085,SC,33.9162,-80.3823,106675
51085,VA,37.7601,-77.491,106538
13015,GA,34.2377,-84.8403,106456
54061,WV,39.6303,-80.0466,106196
41071,OR,45.2327,-123.3081,106087
39109,OH,40.0535,-84.2289,106074
34041,NJ,40.8572,-74.9973,105730
28089,MS,32.6347,-90.0337,105482
1069,AL,31.1532,-85.3025,105319
17115,IL,39.86,-88.9615,104688
29037,MO,38.647,-94.3549,104687
17037,IL,41.8935,-88.7703,104588
12055,FL,27.3434,-81.341,104574
55035,WI,44.7268,-91.286,104132
13313,GA,34.8056,-84.9672,104122
29071,MO,38.4111,-91.075,103629
27019,MN,44.8207,-93.8026,103561
26017,MI,43.7074,-83.9921,103506
55127,WI,42.6685,-88.5419,103391
24045,MD,38.3733,-75.6208,103222
24015,MD,39.5712,-75.9407,102889
29165,MO,39.3803,-94.7738,102848
39003,OH,40.7715,-84.1058,102808
1055,AL,34.0453,-86.0348,102721
19193,IA,42.3897,-96.0448,102687
55039,WI,43.7536,-88.4882,102654
42001,PA,39.8715,-77.2179,102627
39029,OH,40.7684,-80.7772,102514
37049,NC,35.1249,-77.0939,102290
36109,NY,42.452,-76.4736,102237
30029,MT,48.2951,-114.0497,102001
48397,TX,32.8978,-96.4079,101175
21059,KY,37.7318,-87.0873,101001
6057,CA,39.3013,-120.7688,99417
56021,WY,41.3071,-104.6896,99272
37125,NC,35.3106,-79.4814,99263
51770,VA,37.2785,-79.9581,99122
5051,AR,34.5767,-93.1504,99043
36079,NY,41.4267,-73.7495,98714
51121,VA,37.1743,-80.3872,98495
2090,AK,64.8078,-146.5654,98455
26091,MI,41.8951,-84.0664,98310
47155,TN,35.7846,-83.5242,98007
22057,LA,29.5661,-90.4256,97980
47113,TN,35.6082,-88.8385,97838
13115,GA,34.2632,-85.2143,97805
37045,NC,35.3341,-81.5555,97765
